event_id,t_start_full,t_end_full,duration_s,Qmax_obs_m3s,t_Qmax_obs,Vol_obs_m3,Qmax_mod_m3s,t_Qmax_mod,Vol_mod_m3
50,2023-03-11 01:29:00,2023-03-11 21:09:00,70800.0,0.0520059457603308,2023-03-11 07:44:00,1544.7161970397215,0.0,2023-03-11 01:29:00,0.0
51,2023-03-13 19:29:00,2023-03-18 19:44:00,432900.0,0.082556647685456,2023-03-13 23:09:00,8568.911753373379,0.0,2023-03-13 19:29:00,0.0
52,2023-05-31 12:19:00,2023-05-31 21:14:00,32100.0,0.0543748405780284,2023-05-31 13:39:00,809.393369605847,0.0,2023-05-31 12:19:00,0.0
53,2023-06-04 16:44:00,2023-06-04 23:14:00,23400.0,0.0345608967225791,2023-06-04 18:34:00,413.185638310433,0.5964841458175699,2023-06-04 17:19:47,1194.5225519889414
54,2023-06-09 11:19:00,2023-06-10 18:19:00,111600.0,0.099192590418333,2023-06-09 17:04:00,3388.6755852236915,3.3348510682480272,2023-06-09 15:49:42,10559.779400841056
55,2023-10-18 07:29:00,2023-10-18 23:04:00,56100.0,0.068532571388925,2023-10-18 15:34:00,1329.3034345276483,2.651833403588525,2023-10-18 14:19:19,1197.2865332762317
56,2023-10-19 18:14:00,2023-11-19 16:04:00,2670600.0,1.1894,2023-10-23 17:24:00,156112.36764996138,18.076701179178738,2023-10-23 16:54:33,162415.85516812748
57,2024-03-04 23:04:00,2024-04-12 05:04:00,3304800.0,1.24335,2024-03-31 19:44:00,327447.1179118366,5.287913165222073,2024-03-31 19:24:16,219960.71377315721
58,2024-04-26 22:19:00,2024-05-13 11:54:00,1431300.0,0.967506634232571,2024-04-28 11:29:00,158833.83400058278,7.967938959005864,2024-04-28 00:54:43,182775.63010341334
59,2024-05-14 09:19:42,2024-05-26 17:29:00,1066158.0,0.310019710875024,2024-05-14 16:54:00,28398.881500066796,3.9773543957076405,2024-05-18 07:34:51,58530.68920525914
60,2024-05-27 07:39:00,2024-05-27 21:04:00,48300.0,0.0359333714075187,2024-05-27 11:44:00,588.660083476971,0.0,2024-05-27 07:39:00,0.0
61,2024-06-29 15:24:39,2024-06-29 19:59:00,16461.0,0.044210609498085,2024-06-29 16:34:00,297.49693027038745,0.0,2024-06-29 15:24:39,0.0
62,2024-09-22 15:24:00,2024-09-22 20:24:00,18000.0,0.036555523445263,2024-09-22 16:44:00,370.4171638379792,2.6329169522556484,2024-09-22 15:34:02,5850.292609110053
63,2024-10-07 22:54:00,2024-10-26 23:49:35,1644935.0,2.489595,2024-10-16 08:29:00,319102.3048730299,22.64310213744084,2024-10-17 07:19:33,669893.1206698309
64,2024-11-21 12:44:00,2024-11-22 03:09:00,51900.0,0.0658161130285959,2024-11-21 19:09:00,1449.025690897347,2.644953989292394,2024-11-21 13:34:28,16450.558982622355
65,2024-11-24 04:19:00,2024-11-25 23:54:00,156900.0,0.809114679637569,2024-11-25 20:54:00,19905.347897018415,5.3153243596627915,2024-11-25 20:14:36,56407.45609647375
66,2024-12-07 10:59:00,2024-12-07 18:04:00,25500.0,0.034408399979808005,2024-12-07 14:04:00,285.546451721444,0.0,2024-12-07 10:59:00,0.0
